date,johnson_johnson,moderna,pfizer_biontech
09/08/2021,,42.59104958,52.68499795
10/08/2021,,53.35138288,62.28888127
11/08/2021,,53.22388378,62.09796066
12/08/2021,,53.06715706,61.93701448
13/08/2021,,52.89678883,61.77295405
14/08/2021,,52.84213834,61.69271541
15/08/2021,,52.83968594,61.68691054
16/08/2021,,52.7184318,61.53519167
17/08/2021,,52.58834409,61.36937478
18/08/2021,,52.45057265,61.16256307
19/08/2021,,52.30163898,61.00359429
20/08/2021,,52.11499629,60.81885322
21/08/2021,,52.05789015,60.71288987
22/08/2021,,52.05455966,60.70372377
23/08/2021,,51.93601432,60.54528954
24/08/2021,,51.80714345,60.37094104
25/08/2021,,51.67665449,60.12471993
26/08/2021,,51.51096473,59.95503063
27/08/2021,,51.30673353,59.77657655
28/08/2021,,51.22821961,59.63705885
29/08/2021,,51.21510532,59.63178146
30/08/2021,,51.10880705,59.45540814
31/08/2021,,50.98194269,59.30319664
01/09/2021,,66.67917095,66.89447221
02/09/2021,,66.48640981,66.69982885
03/09/2021,,66.26157381,66.47929478
04/09/2021,,66.17056703,66.3260858
05/09/2021,,66.15864992,66.29620272
06/09/2021,,66.0070771,66.12535024
07/09/2021,,65.83503346,65.94880495
08/09/2021,,65.65812648,65.64076138
09/09/2021,,65.41973426,65.43386595
10/09/2021,,65.12543541,65.1545808
11/09/2021,,64.95990487,64.9569923
12/09/2021,,64.94657472,64.8988854
13/09/2021,,64.74464354,64.65919205
14/09/2021,,64.51435685,64.42880235
15/09/2021,,64.28821222,64.07901694
16/09/2021,,64.05377536,63.81613497
17/09/2021,,63.78553339,63.51420532
18/09/2021,,63.66601914,63.30646396
19/09/2021,,63.65966341,63.25439381
20/09/2021,,63.49717565,63.0454975
21/09/2021,,63.31056824,62.81682573
22/09/2021,,74.48375923,67.65403706
23/09/2021,,74.24469205,67.40276206
24/09/2021,,73.97854885,67.14615801
25/09/2021,,73.84044289,66.95476134
26/09/2021,,73.82619624,66.91876215
27/09/2021,,73.65541816,66.71759828
28/09/2021,,73.48055048,66.54022807
29/09/2021,,73.31380419,66.26177397
30/09/2021,,73.11748437,66.08779224
01/10/2021,,72.90058187,65.86601447
02/10/2021,,72.81156024,65.69898063
03/10/2021,,72.79825135,65.66011819
04/10/2021,,72.64697938,65.46862669
05/10/2021,,72.48695449,65.30572222
06/10/2021,,72.32477504,65.06132668
07/10/2021,,72.14186933,64.90420676
08/10/2021,,71.92490189,64.69717303
09/10/2021,,71.81249206,64.53806289
10/10/2021,,71.79704462,64.50837058
11/10/2021,,71.64417011,64.34868465
12/10/2021,,84.88196036,69.81687559
13/10/2021,,84.66590855,69.56557405
14/10/2021,,84.44682003,69.39059286
15/10/2021,,84.18597088,69.15677557
16/10/2021,,84.08105799,69.00003479
17/10/2021,,84.07298054,68.98007685
18/10/2021,,83.90767564,68.82202219
19/10/2021,,83.73089633,68.67286623
20/10/2021,,83.56784888,68.45817479
21/10/2021,,83.40506548,68.30796559
22/10/2021,,83.2203986,68.14331666
23/10/2021,,83.12538182,68.0326863
24/10/2021,,83.1164887,68.01640625
25/10/2021,,82.99944929,67.91044462
26/10/2021,,82.87940764,67.79784041
27/10/2021,,82.7638991,67.63863756
28/10/2021,,82.65222918,67.54184621
29/10/2021,,82.51211781,67.41529548
30/10/2021,,82.46234959,67.34529196
31/10/2021,,82.45867925,67.34022565
01/11/2021,,82.40588505,67.27151886
02/11/2021,,82.31060257,67.19494719
03/11/2021,133.2989336,92.54430472,73.76621133
04/11/2021,129.5607473,92.44834652,73.68357854
05/11/2021,125.1564456,92.32864365,73.56511057
06/11/2021,124.1340648,92.2684687,73.49357612
07/11/2021,124.0496198,92.26557947,73.48902292
08/11/2021,120.0387222,92.15716298,73.3808838
09/11/2021,116.0570551,92.03898748,73.22466982
10/11/2021,110.6273642,91.90770118,73.02046917
11/11/2021,106.6685018,91.76019947,72.82967567
12/11/2021,102.7544831,91.56973386,72.60958861
13/11/2021,100.4276273,91.48204559,72.46280498
14/11/2021,100.0322685,91.46872288,72.43780952
15/11/2021,98.45958393,91.24897182,72.14140632
16/11/2021,96.73896084,91.02093334,71.78721813
17/11/2021,94.83602545,90.75196378,71.36853124
18/11/2021,92.73107987,90.43115123,71.02361692
19/11/2021,90.73613347,90.12008831,70.65184614
20/11/2021,89.73542523,89.98283993,70.48952802
21/11/2021,89.6083249,89.9680273,70.44381342
22/11/2021,88.22357562,89.70364441,70.08732361
23/11/2021,114.9683136,93.99075237,73.90677816
